Manufacturer, Model, Power (W), Certification, Price
Cooler Master,Nation,600 W,80 Plus Gold,768.7 RON
Seasonic,Everybody,550 W,80 Plus Gold,916.8 RON
GIGABYTE,Simple,500 W,80 Plus Bronze,859.86 RON
Cooler Master,Beautiful,2000 W,80 Plus Titanium,897.83 RON
Cooler Master,Fight,550 W,80 Plus Bronze,903.32 RON
Seasonic,Money,600 W,80 Plus Titanium,557.94 RON
be quiet!,Realize,1200 W,80 Plus Platinum,273.92 RON
Thermaltake,Consider,1000 W,80 Plus Silver,935.37 RON
Cooler Master,Guess,550 W,80 Plus Bronze,847.89 RON
Seasonic,Fact,2000 W,80 Plus Platinum,276.99 RON
Seasonic,Minute,850 W,80 Plus Titanium,186.08 RON
Cooler Master,Accept,650 W,80 Plus Silver,459.59 RON
Thermaltake,Third,750 W,80 Plus Silver,696.41 RON
Seasonic,Manager,750 W,80 Plus Titanium,513.69 RON
Seasonic,Future,750 W,80 Plus Gold,305.18 RON
Corsair,Kitchen,1200 W,80 Plus Silver,309.81 RON
be quiet!,Hear,1200 W,80 Plus Bronze,589.37 RON
be quiet!,Window,1500 W,80 Plus Titanium,209.84 RON
Seasonic,Move,750 W,80 Plus Gold,846.2 RON
Thermaltake,Wife,600 W,80 Plus Platinum,339.97 RON
Corsair,Eye,600 W,80 Plus Bronze,256.79 RON
be quiet!,Low,850 W,80 Plus Gold,234.69 RON
AQIRYS,Outside,550 W,80 Plus Platinum,343.47 RON
GIGABYTE,Eat,650 W,80 Plus Platinum,570.6 RON
GIGABYTE,Yes,600 W,80 Plus Platinum,716.23 RON
Cooler Master,Issue,1000 W,80 Plus Gold,650.17 RON
Thermaltake,Upon,850 W,80 Plus Bronze,704.34 RON
Seasonic,Me,1500 W,80 Plus Titanium,112.41 RON
Cooler Master,Tonight,750 W,80 Plus Gold,753.61 RON
AQIRYS,Hold,1000 W,80 Plus Bronze,824.63 RON
Corsair,Help,750 W,80 Plus Gold,998.88 RON
Cooler Master,Church,1000 W,80 Plus Gold,442.43 RON
GIGABYTE,However,550 W,80 Plus Titanium,949.77 RON
Thermaltake,Stand,600 W,80 Plus Titanium,285.08 RON
Seasonic,Activity,850 W,80 Plus Bronze,253.77 RON
AQIRYS,Rate,600 W,80 Plus Bronze,289.29 RON
be quiet!,Hand,850 W,80 Plus Gold,407.29 RON
AQIRYS,Discuss,650 W,80 Plus Titanium,920.54 RON
Corsair,Event,1000 W,80 Plus Gold,319.66 RON
Thermaltake,No,1200 W,80 Plus Titanium,490.74 RON
GIGABYTE,Tell,1200 W,80 Plus Platinum,893.36 RON
Thermaltake,Case,600 W,80 Plus Bronze,871.94 RON
AQIRYS,Benefit,550 W,80 Plus Titanium,184.0 RON
Thermaltake,Use,500 W,80 Plus Titanium,933.28 RON
Seasonic,Bag,500 W,80 Plus Bronze,392.28 RON
Corsair,Must,600 W,80 Plus Platinum,724.33 RON
Seasonic,Too,550 W,80 Plus Platinum,407.04 RON
be quiet!,Ball,550 W,80 Plus Platinum,857.44 RON
Thermaltake,Later,1500 W,80 Plus Platinum,997.73 RON
GIGABYTE,Thank,850 W,80 Plus Bronze,648.78 RON
Corsair,She,650 W,80 Plus Titanium,687.61 RON
GIGABYTE,Exactly,1500 W,80 Plus Titanium,755.71 RON
GIGABYTE,Catch,500 W,80 Plus Titanium,597.02 RON
Cooler Master,White,750 W,80 Plus Platinum,752.4 RON
GIGABYTE,Physical,550 W,80 Plus Titanium,341.92 RON
AQIRYS,Quality,850 W,80 Plus Silver,760.44 RON
AQIRYS,Action,1500 W,80 Plus Platinum,523.79 RON
GIGABYTE,Art,1500 W,80 Plus Gold,937.93 RON
Corsair,Bring,1000 W,80 Plus Gold,899.11 RON
Seasonic,Put,650 W,80 Plus Bronze,242.84 RON
GIGABYTE,Matter,850 W,80 Plus Titanium,851.06 RON
Seasonic,Collection,500 W,80 Plus Bronze,594.42 RON
GIGABYTE,Understand,550 W,80 Plus Gold,366.23 RON
be quiet!,Five,500 W,80 Plus Titanium,290.79 RON
AQIRYS,System,500 W,80 Plus Gold,559.05 RON
Corsair,Make,750 W,80 Plus Titanium,189.28 RON
Seasonic,Final,1200 W,80 Plus Gold,715.6 RON
be quiet!,Suddenly,550 W,80 Plus Titanium,267.73 RON
GIGABYTE,Sometimes,600 W,80 Plus Platinum,783.08 RON
Thermaltake,Though,1000 W,80 Plus Bronze,168.17 RON
GIGABYTE,Society,1500 W,80 Plus Silver,691.89 RON
GIGABYTE,Boy,500 W,80 Plus Gold,879.43 RON
Thermaltake,Live,2000 W,80 Plus Platinum,311.82 RON
be quiet!,Brother,550 W,80 Plus Silver,225.79 RON
Seasonic,Child,1200 W,80 Plus Platinum,294.56 RON
GIGABYTE,Lead,750 W,80 Plus Silver,942.21 RON
GIGABYTE,Meet,2000 W,80 Plus Bronze,384.34 RON
Thermaltake,Collection,550 W,80 Plus Silver,812.87 RON
be quiet!,Station,500 W,80 Plus Gold,599.06 RON
Cooler Master,Hundred,750 W,80 Plus Platinum,601.64 RON
Corsair,Produce,1000 W,80 Plus Gold,158.66 RON
AQIRYS,The,550 W,80 Plus Titanium,149.75 RON
be quiet!,Any,600 W,80 Plus Platinum,534.72 RON
Thermaltake,View,2000 W,80 Plus Platinum,121.95 RON
Thermaltake,Paper,500 W,80 Plus Silver,200.7 RON
GIGABYTE,Growth,1500 W,80 Plus Gold,391.71 RON
Cooler Master,Toward,850 W,80 Plus Titanium,777.06 RON
Corsair,Off,1000 W,80 Plus Titanium,758.08 RON
Corsair,Them,1200 W,80 Plus Silver,979.71 RON
Thermaltake,Yet,600 W,80 Plus Titanium,935.95 RON
Thermaltake,General,850 W,80 Plus Bronze,579.48 RON
Thermaltake,Magazine,850 W,80 Plus Silver,487.66 RON
Cooler Master,What,750 W,80 Plus Bronze,256.58 RON
AQIRYS,Whom,2000 W,80 Plus Bronze,817.76 RON
Cooler Master,Laugh,650 W,80 Plus Gold,910.15 RON
be quiet!,Behind,650 W,80 Plus Silver,154.98 RON
GIGABYTE,Idea,850 W,80 Plus Gold,193.23 RON
Thermaltake,Drug,550 W,80 Plus Silver,693.25 RON
GIGABYTE,Wife,550 W,80 Plus Gold,717.46 RON
AQIRYS,Room,1000 W,80 Plus Silver,527.77 RON
be quiet!,Guess,1000 W,80 Plus Platinum,427.59 RON
AQIRYS,Ask,850 W,80 Plus Titanium,973.09 RON
Corsair,Among,750 W,80 Plus Gold,891.62 RON
be quiet!,Whatever,1200 W,80 Plus Bronze,459.91 RON
Seasonic,Peace,1500 W,80 Plus Bronze,278.72 RON
Cooler Master,On,550 W,80 Plus Platinum,676.35 RON
Thermaltake,Serve,750 W,80 Plus Titanium,543.62 RON
Cooler Master,Think,600 W,80 Plus Gold,624.31 RON
Cooler Master,Radio,500 W,80 Plus Gold,459.29 RON
Thermaltake,For,650 W,80 Plus Gold,484.01 RON
Corsair,True,750 W,80 Plus Titanium,347.61 RON
AQIRYS,Run,1000 W,80 Plus Platinum,962.81 RON
be quiet!,Protect,850 W,80 Plus Bronze,831.09 RON
AQIRYS,Industry,850 W,80 Plus Silver,978.2 RON
AQIRYS,Turn,550 W,80 Plus Gold,840.83 RON
AQIRYS,Democrat,550 W,80 Plus Bronze,304.9 RON
Thermaltake,With,500 W,80 Plus Silver,625.64 RON
AQIRYS,Require,650 W,80 Plus Titanium,525.43 RON
GIGABYTE,Action,600 W,80 Plus Titanium,579.85 RON
Thermaltake,Possible,850 W,80 Plus Silver,768.64 RON
GIGABYTE,Citizen,850 W,80 Plus Platinum,306.16 RON
Seasonic,Long,850 W,80 Plus Gold,342.81 RON
Thermaltake,Door,600 W,80 Plus Titanium,406.02 RON
be quiet!,Single,1200 W,80 Plus Bronze,242.62 RON
GIGABYTE,Above,600 W,80 Plus Titanium,789.05 RON
AQIRYS,Figure,1000 W,80 Plus Gold,348.64 RON
be quiet!,Set,2000 W,80 Plus Titanium,411.14 RON
be quiet!,Young,600 W,80 Plus Platinum,504.38 RON
Corsair,Structure,1000 W,80 Plus Platinum,219.12 RON
AQIRYS,Away,600 W,80 Plus Silver,561.79 RON
Corsair,Opportunity,1000 W,80 Plus Titanium,917.89 RON
Seasonic,Back,1500 W,80 Plus Platinum,400.13 RON
GIGABYTE,Week,1500 W,80 Plus Bronze,943.16 RON
GIGABYTE,Campaign,1500 W,80 Plus Platinum,170.41 RON
Corsair,Church,750 W,80 Plus Titanium,885.01 RON
Seasonic,Responsibility,1500 W,80 Plus Platinum,224.45 RON
Thermaltake,Fly,650 W,80 Plus Bronze,951.63 RON
Cooler Master,Yourself,600 W,80 Plus Platinum,882.65 RON
GIGABYTE,Perform,650 W,80 Plus Silver,904.16 RON
Cooler Master,Idea,2000 W,80 Plus Gold,555.3 RON
Seasonic,Difference,750 W,80 Plus Bronze,149.39 RON
Seasonic,Throughout,1200 W,80 Plus Silver,622.16 RON
Thermaltake,Radio,750 W,80 Plus Platinum,265.35 RON
Cooler Master,See,600 W,80 Plus Gold,506.29 RON
Thermaltake,Reduce,750 W,80 Plus Platinum,312.96 RON
GIGABYTE,Think,600 W,80 Plus Platinum,950.46 RON
Cooler Master,Herself,1000 W,80 Plus Titanium,624.91 RON
Corsair,Machine,1500 W,80 Plus Gold,431.41 RON
Cooler Master,American,2000 W,80 Plus Silver,421.92 RON
Thermaltake,Send,650 W,80 Plus Gold,756.36 RON
be quiet!,Food,1500 W,80 Plus Platinum,764.71 RON
be quiet!,Little,1200 W,80 Plus Silver,416.42 RON
Corsair,Per,750 W,80 Plus Silver,388.67 RON
Thermaltake,Several,550 W,80 Plus Gold,139.31 RON
Seasonic,There,600 W,80 Plus Gold,113.64 RON
Thermaltake,Follow,1200 W,80 Plus Platinum,583.87 RON
Seasonic,Whole,1500 W,80 Plus Silver,673.15 RON
AQIRYS,Read,550 W,80 Plus Platinum,666.18 RON
Thermaltake,Authority,1500 W,80 Plus Silver,554.34 RON
Cooler Master,Visit,1000 W,80 Plus Titanium,868.04 RON
Corsair,Produce,600 W,80 Plus Silver,865.44 RON
Corsair,Hope,650 W,80 Plus Titanium,329.0 RON
Corsair,Mother,500 W,80 Plus Platinum,298.4 RON
Seasonic,Spring,2000 W,80 Plus Titanium,689.52 RON
AQIRYS,State,1000 W,80 Plus Titanium,336.46 RON
Seasonic,Forward,500 W,80 Plus Bronze,739.96 RON
Thermaltake,Full,750 W,80 Plus Titanium,478.86 RON
Thermaltake,Benefit,750 W,80 Plus Platinum,538.76 RON
Corsair,Everyone,500 W,80 Plus Bronze,148.75 RON
GIGABYTE,Still,1500 W,80 Plus Silver,927.32 RON
be quiet!,Start,850 W,80 Plus Titanium,628.83 RON
be quiet!,Address,1500 W,80 Plus Bronze,319.19 RON
GIGABYTE,Age,550 W,80 Plus Bronze,668.04 RON
Seasonic,Rock,1000 W,80 Plus Titanium,890.88 RON
Seasonic,Wear,750 W,80 Plus Silver,427.34 RON
GIGABYTE,Step,550 W,80 Plus Titanium,203.08 RON
Corsair,Every,600 W,80 Plus Titanium,376.2 RON
Cooler Master,Raise,1000 W,80 Plus Bronze,923.69 RON
Thermaltake,Since,550 W,80 Plus Silver,504.46 RON
GIGABYTE,Particular,600 W,80 Plus Bronze,149.33 RON
Seasonic,Five,550 W,80 Plus Bronze,921.38 RON
GIGABYTE,Generation,1200 W,80 Plus Bronze,307.29 RON
Corsair,Move,850 W,80 Plus Platinum,522.76 RON
AQIRYS,West,1000 W,80 Plus Platinum,517.23 RON
be quiet!,Oil,650 W,80 Plus Bronze,277.57 RON
Cooler Master,Raise,600 W,80 Plus Titanium,406.5 RON
Seasonic,Teach,2000 W,80 Plus Platinum,836.0 RON
Seasonic,Unit,850 W,80 Plus Bronze,448.41 RON
Seasonic,Try,1000 W,80 Plus Platinum,736.0 RON
Seasonic,Trip,550 W,80 Plus Titanium,376.85 RON
be quiet!,Behavior,850 W,80 Plus Titanium,522.05 RON
Corsair,Claim,1000 W,80 Plus Platinum,898.87 RON
AQIRYS,Line,1500 W,80 Plus Platinum,830.53 RON
Thermaltake,We,750 W,80 Plus Silver,640.86 RON
Seasonic,Large,550 W,80 Plus Gold,609.42 RON
GIGABYTE,Different,1000 W,80 Plus Bronze,969.45 RON
Corsair,Concern,850 W,80 Plus Titanium,963.05 RON
Corsair,Commercial,750 W,80 Plus Silver,641.2 RON
Cooler Master,Because,550 W,80 Plus Gold,630.88 RON
Thermaltake,Theory,550 W,80 Plus Bronze,209.87 RON
Cooler Master,Use,2000 W,80 Plus Gold,580.37 RON
Cooler Master,Head,2000 W,80 Plus Platinum,229.74 RON
AQIRYS,Plan,600 W,80 Plus Titanium,259.45 RON
Thermaltake,I,650 W,80 Plus Titanium,319.86 RON
Thermaltake,Same,2000 W,80 Plus Silver,494.35 RON
Corsair,Painting,550 W,80 Plus Gold,419.26 RON
be quiet!,If,1200 W,80 Plus Gold,838.61 RON
Seasonic,Exactly,500 W,80 Plus Titanium,111.06 RON
Thermaltake,Image,650 W,80 Plus Titanium,988.63 RON
GIGABYTE,Others,850 W,80 Plus Silver,681.09 RON
Cooler Master,Room,1500 W,80 Plus Silver,568.95 RON
Cooler Master,Could,1200 W,80 Plus Bronze,424.49 RON
Seasonic,Least,550 W,80 Plus Bronze,871.43 RON
Thermaltake,Top,550 W,80 Plus Silver,496.13 RON
Seasonic,House,1500 W,80 Plus Platinum,345.98 RON
Cooler Master,Republican,600 W,80 Plus Titanium,980.05 RON
GIGABYTE,Leave,1200 W,80 Plus Gold,206.8 RON
GIGABYTE,Issue,750 W,80 Plus Bronze,921.94 RON
Cooler Master,Leader,2000 W,80 Plus Platinum,787.4 RON
Cooler Master,During,1000 W,80 Plus Platinum,355.34 RON
GIGABYTE,Condition,750 W,80 Plus Silver,488.12 RON
be quiet!,Popular,750 W,80 Plus Bronze,519.12 RON
Thermaltake,Much,850 W,80 Plus Titanium,313.67 RON
Seasonic,Bank,2000 W,80 Plus Platinum,782.4 RON
be quiet!,Result,550 W,80 Plus Gold,494.92 RON
Seasonic,Central,550 W,80 Plus Gold,139.0 RON
be quiet!,Itself,1500 W,80 Plus Platinum,998.65 RON
GIGABYTE,Along,1200 W,80 Plus Titanium,641.29 RON
Corsair,Style,2000 W,80 Plus Titanium,441.72 RON
Corsair,Election,500 W,80 Plus Silver,580.15 RON
Seasonic,Bag,600 W,80 Plus Titanium,823.54 RON
AQIRYS,Body,500 W,80 Plus Silver,163.8 RON
AQIRYS,Skin,1500 W,80 Plus Bronze,810.26 RON
Seasonic,Into,1200 W,80 Plus Silver,709.07 RON
be quiet!,Half,1500 W,80 Plus Titanium,698.43 RON
Thermaltake,To,550 W,80 Plus Silver,800.24 RON
GIGABYTE,Put,650 W,80 Plus Platinum,474.65 RON
be quiet!,Data,1000 W,80 Plus Silver,513.75 RON
Corsair,Plant,550 W,80 Plus Silver,172.93 RON
Corsair,Include,550 W,80 Plus Gold,620.04 RON
Thermaltake,Somebody,1000 W,80 Plus Bronze,406.76 RON
Seasonic,Stage,1000 W,80 Plus Bronze,652.99 RON
be quiet!,Stuff,750 W,80 Plus Gold,682.5 RON
Thermaltake,Challenge,850 W,80 Plus Bronze,966.13 RON
Seasonic,Including,500 W,80 Plus Titanium,981.81 RON
Seasonic,Past,1000 W,80 Plus Bronze,562.32 RON
be quiet!,Leg,600 W,80 Plus Titanium,168.19 RON
Cooler Master,Society,1000 W,80 Plus Gold,777.99 RON
GIGABYTE,Final,600 W,80 Plus Gold,536.57 RON
Thermaltake,State,750 W,80 Plus Silver,559.6 RON
AQIRYS,Window,2000 W,80 Plus Gold,441.29 RON
Corsair,Car,1200 W,80 Plus Silver,283.51 RON
Thermaltake,Their,850 W,80 Plus Silver,759.77 RON
GIGABYTE,Born,850 W,80 Plus Bronze,346.32 RON
Cooler Master,Together,2000 W,80 Plus Bronze,170.98 RON
Corsair,Ok,2000 W,80 Plus Gold,705.19 RON
Seasonic,Outside,1000 W,80 Plus Platinum,734.8 RON
Cooler Master,Claim,750 W,80 Plus Titanium,323.34 RON
Thermaltake,Along,850 W,80 Plus Platinum,486.74 RON
Seasonic,Number,1200 W,80 Plus Bronze,222.09 RON
Thermaltake,Pass,2000 W,80 Plus Bronze,471.83 RON
Thermaltake,Phone,850 W,80 Plus Gold,461.59 RON
Thermaltake,Might,600 W,80 Plus Silver,540.88 RON
Corsair,Talk,850 W,80 Plus Gold,488.87 RON
Cooler Master,East,500 W,80 Plus Titanium,799.98 RON
GIGABYTE,Yes,550 W,80 Plus Platinum,981.07 RON
Cooler Master,Happen,500 W,80 Plus Bronze,386.51 RON
Corsair,Physical,1200 W,80 Plus Platinum,896.17 RON
GIGABYTE,Able,550 W,80 Plus Bronze,359.58 RON
Corsair,Piece,750 W,80 Plus Gold,965.07 RON
Cooler Master,Soon,1000 W,80 Plus Gold,493.27 RON
Corsair,Little,1200 W,80 Plus Platinum,323.54 RON
Cooler Master,Door,850 W,80 Plus Bronze,944.62 RON
be quiet!,Thus,650 W,80 Plus Bronze,599.47 RON
GIGABYTE,Option,1000 W,80 Plus Platinum,339.14 RON
be quiet!,Drop,500 W,80 Plus Silver,281.4 RON
Corsair,Part,650 W,80 Plus Gold,493.31 RON
be quiet!,Ready,1000 W,80 Plus Silver,791.28 RON
Thermaltake,Fund,600 W,80 Plus Platinum,445.97 RON
Corsair,You,1000 W,80 Plus Titanium,523.62 RON
be quiet!,Simply,600 W,80 Plus Bronze,381.04 RON
Corsair,Lay,850 W,80 Plus Silver,774.92 RON
AQIRYS,Group,650 W,80 Plus Titanium,209.51 RON
be quiet!,Check,1200 W,80 Plus Titanium,805.8 RON
Cooler Master,Life,550 W,80 Plus Platinum,261.96 RON
be quiet!,System,850 W,80 Plus Bronze,615.74 RON
be quiet!,Fear,650 W,80 Plus Titanium,746.42 RON
AQIRYS,Kid,550 W,80 Plus Titanium,978.76 RON
GIGABYTE,Bring,650 W,80 Plus Platinum,780.43 RON
Seasonic,Head,1500 W,80 Plus Titanium,314.65 RON
Corsair,Investment,2000 W,80 Plus Titanium,458.67 RON
Cooler Master,Difficult,1000 W,80 Plus Silver,780.79 RON
Cooler Master,By,1000 W,80 Plus Platinum,956.86 RON
Corsair,Wait,2000 W,80 Plus Gold,885.17 RON
Corsair,Laugh,1200 W,80 Plus Platinum,324.3 RON
GIGABYTE,Bank,500 W,80 Plus Silver,938.51 RON
Cooler Master,Artist,2000 W,80 Plus Bronze,380.14 RON
Thermaltake,Still,500 W,80 Plus Platinum,822.67 RON
AQIRYS,Institution,1000 W,80 Plus Bronze,694.97 RON
Seasonic,Difference,600 W,80 Plus Titanium,413.98 RON
Corsair,Difficult,750 W,80 Plus Titanium,859.75 RON
Thermaltake,More,1500 W,80 Plus Silver,145.97 RON
GIGABYTE,Detail,550 W,80 Plus Titanium,674.51 RON
Cooler Master,Today,650 W,80 Plus Silver,905.18 RON
Seasonic,Size,1000 W,80 Plus Platinum,201.44 RON
Cooler Master,Decide,1000 W,80 Plus Titanium,914.25 RON
be quiet!,Age,2000 W,80 Plus Gold,742.22 RON
Seasonic,Opportunity,650 W,80 Plus Bronze,142.16 RON
GIGABYTE,Heart,1500 W,80 Plus Bronze,351.11 RON
be quiet!,Rate,500 W,80 Plus Platinum,450.66 RON
AQIRYS,Best,550 W,80 Plus Gold,916.8 RON
AQIRYS,Else,600 W,80 Plus Silver,802.55 RON
Cooler Master,Other,750 W,80 Plus Gold,981.93 RON
AQIRYS,Loss,1000 W,80 Plus Silver,401.53 RON
GIGABYTE,Group,600 W,80 Plus Gold,519.27 RON
Corsair,Should,1200 W,80 Plus Silver,694.8 RON
GIGABYTE,Run,750 W,80 Plus Titanium,163.99 RON
Corsair,Hospital,1000 W,80 Plus Silver,361.33 RON
Cooler Master,Purpose,650 W,80 Plus Platinum,390.35 RON
AQIRYS,Current,1000 W,80 Plus Silver,725.45 RON
Cooler Master,Bank,2000 W,80 Plus Platinum,149.08 RON
be quiet!,Upon,650 W,80 Plus Titanium,478.13 RON
AQIRYS,Character,650 W,80 Plus Silver,530.65 RON
be quiet!,Stuff,2000 W,80 Plus Gold,588.99 RON
Seasonic,Even,1000 W,80 Plus Gold,613.83 RON
GIGABYTE,Particular,600 W,80 Plus Bronze,672.8 RON
GIGABYTE,Live,1500 W,80 Plus Silver,301.44 RON
Corsair,Today,600 W,80 Plus Platinum,547.01 RON
GIGABYTE,Interesting,1000 W,80 Plus Bronze,438.18 RON
AQIRYS,Always,1000 W,80 Plus Silver,873.1 RON
Seasonic,Second,500 W,80 Plus Titanium,975.57 RON
Seasonic,Tax,1000 W,80 Plus Gold,101.72 RON
Corsair,Education,1500 W,80 Plus Platinum,566.88 RON
AQIRYS,Not,1500 W,80 Plus Platinum,811.77 RON
be quiet!,Style,650 W,80 Plus Silver,723.07 RON
AQIRYS,Blood,2000 W,80 Plus Gold,390.26 RON
Corsair,Bar,600 W,80 Plus Silver,252.68 RON
Thermaltake,None,600 W,80 Plus Bronze,549.85 RON
Cooler Master,Surface,550 W,80 Plus Gold,660.96 RON
GIGABYTE,Own,850 W,80 Plus Gold,958.87 RON
GIGABYTE,Especially,750 W,80 Plus Titanium,660.36 RON
Thermaltake,Course,550 W,80 Plus Bronze,392.72 RON
Cooler Master,Statement,650 W,80 Plus Silver,972.99 RON
Thermaltake,Explain,750 W,80 Plus Gold,723.43 RON
Cooler Master,Benefit,1200 W,80 Plus Bronze,768.5 RON
Cooler Master,Source,600 W,80 Plus Bronze,520.43 RON
Corsair,Mother,500 W,80 Plus Gold,830.92 RON
AQIRYS,Follow,550 W,80 Plus Bronze,897.12 RON
Thermaltake,Anything,2000 W,80 Plus Gold,881.1 RON
be quiet!,Time,1200 W,80 Plus Platinum,998.81 RON
GIGABYTE,There,500 W,80 Plus Bronze,697.06 RON
GIGABYTE,Nation,850 W,80 Plus Bronze,964.74 RON
be quiet!,Figure,1500 W,80 Plus Platinum,368.13 RON
Corsair,Likely,850 W,80 Plus Bronze,167.24 RON
AQIRYS,Whose,600 W,80 Plus Bronze,273.48 RON
AQIRYS,Whether,2000 W,80 Plus Titanium,305.99 RON
GIGABYTE,Energy,1200 W,80 Plus Platinum,695.22 RON
GIGABYTE,Beat,1000 W,80 Plus Silver,838.61 RON
Thermaltake,Also,500 W,80 Plus Titanium,194.58 RON
Corsair,Risk,1000 W,80 Plus Platinum,138.28 RON
Corsair,Tend,750 W,80 Plus Titanium,685.75 RON
Thermaltake,Great,550 W,80 Plus Titanium,525.07 RON
Cooler Master,Air,1500 W,80 Plus Silver,332.1 RON
Corsair,Reveal,500 W,80 Plus Titanium,277.51 RON
AQIRYS,Dream,1500 W,80 Plus Titanium,873.53 RON
GIGABYTE,High,1500 W,80 Plus Bronze,396.45 RON
Seasonic,Identify,1200 W,80 Plus Gold,503.21 RON
be quiet!,Woman,650 W,80 Plus Silver,451.18 RON
Seasonic,Join,750 W,80 Plus Bronze,465.39 RON
AQIRYS,Today,550 W,80 Plus Silver,299.05 RON
Corsair,Foreign,750 W,80 Plus Silver,319.77 RON
AQIRYS,Quite,850 W,80 Plus Silver,914.49 RON
Cooler Master,Including,850 W,80 Plus Gold,124.94 RON
be quiet!,Consumer,1200 W,80 Plus Platinum,358.55 RON
Corsair,Hot,650 W,80 Plus Titanium,998.35 RON
Seasonic,Until,650 W,80 Plus Silver,456.39 RON
be quiet!,Discussion,650 W,80 Plus Platinum,432.19 RON
AQIRYS,Approach,1500 W,80 Plus Titanium,689.97 RON
Thermaltake,Large,650 W,80 Plus Gold,377.0 RON
Thermaltake,Election,850 W,80 Plus Titanium,408.85 RON
AQIRYS,Happy,850 W,80 Plus Bronze,972.78 RON
GIGABYTE,Station,1200 W,80 Plus Bronze,454.03 RON
Cooler Master,Page,750 W,80 Plus Gold,223.38 RON
AQIRYS,Them,1500 W,80 Plus Titanium,983.09 RON
be quiet!,Store,500 W,80 Plus Platinum,416.54 RON
AQIRYS,Discover,750 W,80 Plus Platinum,771.61 RON
Seasonic,Body,1500 W,80 Plus Titanium,206.59 RON
Corsair,Certain,2000 W,80 Plus Bronze,788.14 RON
Corsair,Card,600 W,80 Plus Platinum,250.86 RON
GIGABYTE,Threat,500 W,80 Plus Platinum,781.59 RON
AQIRYS,Change,850 W,80 Plus Bronze,631.06 RON
AQIRYS,Skill,550 W,80 Plus Platinum,421.76 RON
Corsair,Near,1000 W,80 Plus Gold,945.11 RON
GIGABYTE,East,600 W,80 Plus Gold,536.63 RON
Seasonic,Catch,2000 W,80 Plus Gold,113.96 RON
Cooler Master,Hotel,650 W,80 Plus Platinum,649.39 RON
AQIRYS,Leg,550 W,80 Plus Bronze,938.99 RON
GIGABYTE,Above,600 W,80 Plus Bronze,924.0 RON
Seasonic,Field,600 W,80 Plus Platinum,104.74 RON
Seasonic,Career,1200 W,80 Plus Titanium,488.24 RON
Seasonic,Beyond,600 W,80 Plus Bronze,915.43 RON
Seasonic,Figure,850 W,80 Plus Titanium,977.82 RON
Cooler Master,Visit,1200 W,80 Plus Gold,116.35 RON
Corsair,Visit,550 W,80 Plus Bronze,736.68 RON
Thermaltake,Human,600 W,80 Plus Silver,264.47 RON
Seasonic,Thing,1000 W,80 Plus Gold,277.4 RON
Thermaltake,View,1200 W,80 Plus Silver,244.68 RON
AQIRYS,Onto,1000 W,80 Plus Bronze,334.49 RON
Cooler Master,Actually,1200 W,80 Plus Titanium,524.21 RON
Cooler Master,Policy,650 W,80 Plus Silver,900.73 RON
be quiet!,Early,750 W,80 Plus Silver,783.91 RON
Seasonic,Edge,650 W,80 Plus Titanium,623.36 RON
GIGABYTE,Environment,500 W,80 Plus Titanium,692.88 RON
Cooler Master,Pass,1500 W,80 Plus Gold,977.13 RON
be quiet!,Decision,1500 W,80 Plus Platinum,445.67 RON
be quiet!,Along,600 W,80 Plus Gold,774.63 RON
GIGABYTE,Adult,1000 W,80 Plus Bronze,536.34 RON
Thermaltake,Television,1200 W,80 Plus Titanium,325.32 RON
Thermaltake,Example,550 W,80 Plus Platinum,101.42 RON
AQIRYS,Including,850 W,80 Plus Platinum,352.99 RON
Cooler Master,Rule,750 W,80 Plus Silver,531.78 RON
be quiet!,Way,1500 W,80 Plus Silver,152.99 RON
GIGABYTE,Late,1200 W,80 Plus Platinum,552.93 RON
be quiet!,Choice,550 W,80 Plus Titanium,113.91 RON
Seasonic,Strong,550 W,80 Plus Silver,271.28 RON
AQIRYS,However,2000 W,80 Plus Silver,800.16 RON
GIGABYTE,Drive,550 W,80 Plus Titanium,895.92 RON
Seasonic,Culture,2000 W,80 Plus Titanium,324.95 RON
GIGABYTE,Mission,600 W,80 Plus Silver,222.09 RON
AQIRYS,Must,1200 W,80 Plus Titanium,272.13 RON
Cooler Master,Only,850 W,80 Plus Titanium,873.36 RON
Corsair,Fall,750 W,80 Plus Titanium,526.83 RON
AQIRYS,Sing,2000 W,80 Plus Bronze,342.86 RON
Cooler Master,Bring,1000 W,80 Plus Silver,278.34 RON
GIGABYTE,Few,1200 W,80 Plus Platinum,843.6 RON
Corsair,Mouth,750 W,80 Plus Titanium,794.98 RON
be quiet!,Kind,750 W,80 Plus Titanium,286.13 RON
AQIRYS,Character,750 W,80 Plus Platinum,362.17 RON
be quiet!,Base,650 W,80 Plus Gold,511.77 RON
Cooler Master,Bring,2000 W,80 Plus Bronze,759.06 RON
Seasonic,Successful,1000 W,80 Plus Titanium,818.36 RON
GIGABYTE,Business,500 W,80 Plus Bronze,998.41 RON
GIGABYTE,World,1500 W,80 Plus Silver,918.15 RON
Cooler Master,Budget,550 W,80 Plus Titanium,195.21 RON
Seasonic,Action,1500 W,80 Plus Bronze,440.86 RON
Corsair,Kitchen,600 W,80 Plus Bronze,593.67 RON
GIGABYTE,Compare,750 W,80 Plus Bronze,542.76 RON
Corsair,According,1200 W,80 Plus Silver,412.29 RON
