Manufacturer, Model, Cores, Frequency (GHz), Price
Intel,Scene,6,3.94 GHz,1587.3 RON
AMD,Institution,4,2.72 GHz,2331.53 RON
AMD,Including,8,3.99 GHz,1610.47 RON
AMD,Machine,16,4.99 GHz,1861.77 RON
Intel,Commercial,4,4.35 GHz,2845.93 RON
Intel,Be,4,2.8 GHz,2107.51 RON
AMD,Determine,24,3.26 GHz,1088.35 RON
Intel,Red,16,4.87 GHz,989.79 RON
AMD,Information,24,4.26 GHz,1255.37 RON
AMD,Message,6,3.3 GHz,2003.17 RON
AMD,Think,6,3.31 GHz,2898.66 RON
Intel,Teach,16,4.1 GHz,2332.64 RON
AMD,Media,8,2.51 GHz,1522.57 RON
Intel,Effort,8,2.54 GHz,1306.05 RON
Intel,Step,16,3.31 GHz,1023.41 RON
AMD,Discuss,16,3.47 GHz,1246.78 RON
Intel,Evidence,16,3.98 GHz,403.15 RON
AMD,End,8,4.08 GHz,649.31 RON
Intel,Trade,6,4.39 GHz,525.91 RON
Intel,Score,8,4.99 GHz,1364.5 RON
Intel,Letter,8,3.12 GHz,523.4 RON
AMD,On,6,3.84 GHz,2839.65 RON
Intel,Whether,6,4.7 GHz,1327.2 RON
AMD,Now,6,3.02 GHz,752.69 RON
AMD,Mother,4,4.35 GHz,2312.45 RON
AMD,Home,6,3.33 GHz,671.29 RON
AMD,Someone,4,3.26 GHz,1797.22 RON
Intel,Dark,16,2.31 GHz,1435.89 RON
AMD,Just,16,3.24 GHz,1362.4 RON
AMD,Check,24,2.87 GHz,608.76 RON
AMD,Child,6,2.31 GHz,899.34 RON
AMD,Least,12,3.59 GHz,1438.06 RON
Intel,Across,8,4.55 GHz,2707.03 RON
Intel,Miss,12,4.49 GHz,2993.72 RON
Intel,Expert,4,2.24 GHz,2230.13 RON
AMD,Space,12,3.12 GHz,642.1 RON
Intel,Avoid,16,2.72 GHz,1855.44 RON
AMD,Campaign,16,4.25 GHz,2374.43 RON
Intel,Participant,4,3.1 GHz,1406.64 RON
Intel,Beyond,6,3.47 GHz,2429.3 RON
Intel,We,12,4.34 GHz,2578.25 RON
AMD,Sit,6,3.41 GHz,1751.82 RON
AMD,Same,24,3.43 GHz,1251.52 RON
Intel,Number,6,2.98 GHz,2167.35 RON
Intel,Operation,6,3.9 GHz,974.0 RON
Intel,Matter,24,2.97 GHz,2807.22 RON
Intel,Test,8,4.35 GHz,897.06 RON
Intel,Something,24,2.52 GHz,858.09 RON
Intel,Bring,12,2.66 GHz,873.92 RON
AMD,Culture,6,4.34 GHz,1452.16 RON
Intel,Writer,24,3.85 GHz,814.79 RON
AMD,Ever,24,2.87 GHz,1936.93 RON
AMD,Whose,8,3.81 GHz,2617.53 RON
Intel,Walk,16,3.5 GHz,1870.45 RON
AMD,Condition,6,4.57 GHz,1461.73 RON
Intel,Condition,6,2.72 GHz,2511.04 RON
AMD,Deep,24,2.33 GHz,2080.84 RON
AMD,Upon,12,4.73 GHz,677.2 RON
AMD,Increase,4,3.25 GHz,2825.56 RON
Intel,Father,24,2.98 GHz,2896.76 RON
Intel,Professional,8,4.92 GHz,1033.01 RON
Intel,Hear,4,3.1 GHz,1212.5 RON
Intel,Garden,4,3.65 GHz,428.91 RON
Intel,Game,4,3.37 GHz,1430.02 RON
Intel,Focus,24,2.76 GHz,668.69 RON
AMD,Year,8,3.18 GHz,1305.89 RON
AMD,Pick,6,4.41 GHz,1794.54 RON
AMD,Must,6,4.49 GHz,1914.21 RON
Intel,Back,8,2.18 GHz,874.88 RON
Intel,Hold,6,2.35 GHz,1406.71 RON
AMD,Rich,12,4.09 GHz,1962.39 RON
AMD,Church,12,2.44 GHz,2262.24 RON
AMD,Ball,4,2.76 GHz,1282.23 RON
Intel,Continue,12,2.98 GHz,1259.57 RON
AMD,Effect,4,4.62 GHz,1359.27 RON
Intel,Organization,8,2.94 GHz,1942.96 RON
Intel,Happen,12,4.58 GHz,1146.08 RON
Intel,Raise,6,3.08 GHz,1491.23 RON
Intel,Finally,6,2.69 GHz,2306.03 RON
AMD,Movie,6,2.26 GHz,1844.88 RON
AMD,Animal,12,2.99 GHz,1818.72 RON
Intel,Sound,6,4.17 GHz,820.97 RON
AMD,Fish,4,2.79 GHz,1569.81 RON
Intel,Baby,6,2.5 GHz,1616.01 RON
AMD,Pass,8,4.64 GHz,2742.66 RON
AMD,Section,6,4.55 GHz,1757.1 RON
Intel,Nor,8,3.01 GHz,2589.79 RON
Intel,Shoulder,8,2.81 GHz,1545.3 RON
Intel,About,12,4.6 GHz,2915.19 RON
Intel,Glass,4,2.4 GHz,2944.65 RON
Intel,Person,8,3.59 GHz,426.06 RON
AMD,Still,4,2.58 GHz,1563.65 RON
AMD,Mention,12,2.75 GHz,1822.74 RON
AMD,Sell,6,3.15 GHz,1770.92 RON
Intel,When,12,4.42 GHz,2355.25 RON
AMD,Score,16,3.36 GHz,856.87 RON
Intel,Meeting,4,4.95 GHz,846.32 RON
Intel,We,4,2.2 GHz,2956.37 RON
AMD,Guy,6,3.69 GHz,1771.39 RON
AMD,Our,4,4.1 GHz,2606.16 RON
Intel,Decision,16,2.69 GHz,2815.08 RON
Intel,Long,4,4.01 GHz,1587.37 RON
Intel,Everybody,4,3.2 GHz,929.49 RON
AMD,Thought,8,4.71 GHz,2506.42 RON
Intel,Their,8,4.78 GHz,2826.3 RON
Intel,Expect,6,3.92 GHz,2463.74 RON
AMD,Ahead,4,4.53 GHz,831.5 RON
Intel,Week,4,2.91 GHz,1990.44 RON
AMD,Especially,4,2.6 GHz,1973.26 RON
AMD,Environment,16,2.82 GHz,2695.72 RON
Intel,Thus,16,2.46 GHz,1569.13 RON
Intel,I,8,2.69 GHz,2833.16 RON
Intel,Wife,16,2.01 GHz,681.59 RON
AMD,Knowledge,16,3.94 GHz,869.81 RON
AMD,Thought,4,4.29 GHz,2052.53 RON
AMD,Time,16,4.6 GHz,2997.1 RON
Intel,Agree,6,4.33 GHz,2840.24 RON
Intel,Begin,16,4.25 GHz,2411.13 RON
AMD,Because,12,4.1 GHz,2174.54 RON
AMD,Political,6,4.3 GHz,1295.63 RON
AMD,Must,12,4.57 GHz,2676.33 RON
AMD,Central,12,4.02 GHz,2010.44 RON
AMD,Upon,4,2.51 GHz,810.28 RON
AMD,House,4,2.73 GHz,2981.08 RON
AMD,Piece,4,2.26 GHz,2729.87 RON
AMD,Eye,6,4.7 GHz,2588.01 RON
AMD,Organization,16,3.25 GHz,432.03 RON
Intel,Agree,16,3.8 GHz,645.04 RON
Intel,Hope,24,3.59 GHz,1871.48 RON
Intel,Consumer,6,4.46 GHz,2548.48 RON
AMD,Bit,12,2.84 GHz,501.36 RON
Intel,Body,16,2.96 GHz,2560.86 RON
Intel,Surface,16,4.96 GHz,1477.96 RON
AMD,Summer,16,4.89 GHz,1791.6 RON
AMD,Her,12,4.53 GHz,471.14 RON
Intel,Kitchen,8,2.31 GHz,854.38 RON
AMD,Policy,8,4.28 GHz,801.57 RON
AMD,Although,12,2.43 GHz,2987.36 RON
Intel,Cell,6,3.51 GHz,2142.35 RON
AMD,Physical,4,4.77 GHz,475.29 RON
AMD,First,6,4.53 GHz,1703.87 RON
Intel,Similar,4,4.55 GHz,2235.3 RON
AMD,Store,16,4.8 GHz,509.42 RON
Intel,Leave,24,3.79 GHz,541.39 RON
Intel,Quickly,12,3.83 GHz,1955.2 RON
AMD,Hospital,12,2.41 GHz,2618.54 RON
Intel,Image,12,4.06 GHz,2946.73 RON
Intel,Others,24,2.73 GHz,1459.51 RON
AMD,Paper,4,4.42 GHz,1367.74 RON
AMD,Race,8,2.57 GHz,644.05 RON
Intel,Boy,16,3.74 GHz,1969.95 RON
Intel,Friend,8,3.3 GHz,1209.4 RON
AMD,Late,16,3.06 GHz,704.94 RON
Intel,Enter,8,3.74 GHz,2114.78 RON
Intel,Style,8,4.5 GHz,2627.79 RON
Intel,Toward,6,2.85 GHz,1350.82 RON
Intel,Three,8,2.75 GHz,1107.17 RON
Intel,Choose,6,2.53 GHz,671.58 RON
Intel,Water,24,4.99 GHz,1294.98 RON
AMD,Well,8,4.59 GHz,1558.17 RON
AMD,Music,24,4.09 GHz,1679.6 RON
Intel,If,24,3.22 GHz,1194.14 RON
AMD,Whatever,6,2.65 GHz,1658.39 RON
AMD,Head,4,4.58 GHz,1670.5 RON
Intel,Citizen,4,2.17 GHz,2679.54 RON
AMD,Big,4,2.85 GHz,1376.8 RON
AMD,Four,4,2.67 GHz,1050.25 RON
AMD,Rate,16,2.58 GHz,1859.87 RON
Intel,Fight,6,2.55 GHz,732.92 RON
Intel,Down,4,4.47 GHz,2459.06 RON
AMD,Shake,12,4.7 GHz,1845.38 RON
AMD,Executive,16,4.5 GHz,2536.29 RON
Intel,Probably,6,2.9 GHz,730.95 RON
AMD,Expert,4,2.79 GHz,1702.29 RON
Intel,Charge,4,2.75 GHz,808.61 RON
AMD,Line,8,4.25 GHz,1924.72 RON
AMD,Well,4,2.33 GHz,1749.89 RON
AMD,Maintain,24,2.37 GHz,1508.87 RON
AMD,Voice,8,4.83 GHz,2116.87 RON
AMD,Everyone,8,4.35 GHz,1982.4 RON
AMD,Become,24,3.38 GHz,686.88 RON
Intel,Political,12,2.6 GHz,1550.29 RON
AMD,Tax,4,3.96 GHz,777.37 RON
AMD,Debate,24,3.78 GHz,2510.6 RON
AMD,Newspaper,24,3.85 GHz,558.53 RON
Intel,Set,24,2.9 GHz,741.19 RON
Intel,Bar,8,2.63 GHz,2512.68 RON
AMD,Half,8,3.89 GHz,2638.96 RON
AMD,Five,24,3.64 GHz,476.87 RON
Intel,Physical,4,2.66 GHz,878.23 RON
Intel,Window,16,4.58 GHz,1925.99 RON
Intel,Thought,4,2.32 GHz,2777.18 RON
Intel,Present,4,2.44 GHz,1199.33 RON
AMD,Range,4,2.08 GHz,883.1 RON
Intel,Man,16,4.11 GHz,2915.23 RON
AMD,Information,4,2.75 GHz,2405.38 RON
AMD,Decision,8,2.47 GHz,2508.26 RON
Intel,Media,4,4.29 GHz,1761.55 RON
AMD,Owner,8,2.63 GHz,2728.54 RON
AMD,Capital,8,3.25 GHz,1082.37 RON
AMD,These,24,4.38 GHz,896.09 RON
Intel,Within,12,3.75 GHz,1018.94 RON
Intel,Support,24,4.69 GHz,1054.25 RON
AMD,Fear,16,3.5 GHz,1671.49 RON
AMD,Week,24,2.3 GHz,1407.65 RON
AMD,Anything,8,4.94 GHz,2001.85 RON
Intel,Be,12,3.79 GHz,526.1 RON
AMD,Itself,12,4.07 GHz,1373.41 RON
AMD,Describe,16,2.27 GHz,1448.46 RON
Intel,Day,12,4.94 GHz,2675.74 RON
Intel,Material,16,2.21 GHz,1820.58 RON
Intel,Do,4,4.63 GHz,2765.66 RON
Intel,General,16,3.58 GHz,2559.42 RON
Intel,Concern,4,2.57 GHz,1055.59 RON
Intel,Best,4,4.65 GHz,1702.75 RON
AMD,Forward,4,2.43 GHz,2105.0 RON
AMD,Side,24,4.75 GHz,729.76 RON
AMD,Long,6,2.85 GHz,2981.99 RON
AMD,Inside,8,2.93 GHz,2786.3 RON
Intel,Eye,16,2.85 GHz,2159.64 RON
AMD,We,12,4.49 GHz,1966.54 RON
AMD,Week,24,3.01 GHz,2736.47 RON
AMD,Religious,8,2.25 GHz,2481.11 RON
Intel,Mr,6,3.94 GHz,2335.16 RON
Intel,West,24,4.34 GHz,2473.75 RON
AMD,Mission,4,3.88 GHz,435.87 RON
Intel,Recent,16,2.78 GHz,1842.08 RON
Intel,Project,6,4.22 GHz,954.06 RON
AMD,Be,16,4.97 GHz,2865.86 RON
AMD,Democratic,4,2.86 GHz,1473.46 RON
Intel,Chance,24,3.4 GHz,2968.49 RON
AMD,Home,12,2.29 GHz,700.36 RON
AMD,Power,16,3.13 GHz,1257.73 RON
Intel,Force,4,4.41 GHz,1805.53 RON
Intel,Investment,8,4.09 GHz,1065.1 RON
AMD,Toward,6,4.64 GHz,1406.47 RON
AMD,Play,8,3.65 GHz,1835.46 RON
Intel,View,16,3.97 GHz,780.09 RON
AMD,Daughter,4,4.9 GHz,2477.76 RON
AMD,Tonight,4,4.96 GHz,2441.92 RON
AMD,Administration,8,4.69 GHz,2719.51 RON
Intel,Gas,12,3.61 GHz,1455.25 RON
AMD,Baby,12,3.9 GHz,1267.33 RON
AMD,Season,12,2.61 GHz,2320.4 RON
AMD,Financial,4,3.97 GHz,2141.04 RON
AMD,Hospital,16,4.81 GHz,1524.1 RON
Intel,Company,4,2.46 GHz,1123.2 RON
Intel,Beyond,8,2.91 GHz,748.45 RON
Intel,Senior,12,3.35 GHz,1483.07 RON
AMD,See,8,4.34 GHz,402.93 RON
Intel,Nice,16,4.04 GHz,2232.37 RON
Intel,Measure,4,3.69 GHz,2672.19 RON
Intel,Half,6,3.37 GHz,932.05 RON
AMD,Again,8,4.01 GHz,1602.67 RON
Intel,Prevent,8,2.7 GHz,1519.21 RON
AMD,Citizen,16,4.7 GHz,1787.98 RON
Intel,Action,6,2.78 GHz,1391.86 RON
AMD,Argue,4,4.5 GHz,1042.94 RON
Intel,Change,12,4.4 GHz,1105.5 RON
AMD,Born,16,3.8 GHz,2547.03 RON
Intel,Newspaper,8,4.55 GHz,1053.64 RON
Intel,Detail,12,3.33 GHz,2316.47 RON
Intel,Allow,16,3.89 GHz,1069.12 RON
AMD,Take,4,4.62 GHz,2666.95 RON
AMD,Ability,4,4.16 GHz,2821.76 RON
Intel,Ready,4,3.74 GHz,801.77 RON
AMD,Water,12,3.12 GHz,2627.12 RON
AMD,Represent,24,2.49 GHz,1924.39 RON
AMD,Where,24,3.82 GHz,2447.93 RON
AMD,Safe,16,3.07 GHz,729.78 RON
Intel,Compare,12,4.51 GHz,1043.53 RON
AMD,Mind,8,2.71 GHz,1011.51 RON
AMD,Policy,16,3.25 GHz,2155.02 RON
Intel,Sea,12,2.45 GHz,971.4 RON
AMD,Red,16,4.98 GHz,2457.47 RON
AMD,Chance,8,2.95 GHz,910.67 RON
AMD,Inside,8,2.35 GHz,2474.92 RON
Intel,Part,12,4.95 GHz,2766.9 RON
Intel,Draw,4,2.13 GHz,2722.64 RON
AMD,Detail,24,2.08 GHz,1850.55 RON
AMD,Contain,12,3.75 GHz,2738.03 RON
Intel,Relate,8,2.46 GHz,2803.96 RON
Intel,Explain,4,2.91 GHz,950.22 RON
Intel,Republican,24,2.11 GHz,1919.89 RON
Intel,Likely,16,4.79 GHz,910.84 RON
AMD,Meeting,12,3.81 GHz,1327.17 RON
Intel,Decide,24,3.47 GHz,764.15 RON
AMD,Interview,8,4.86 GHz,1496.57 RON
AMD,Pattern,8,2.62 GHz,1407.38 RON
Intel,Feeling,24,4.73 GHz,2330.73 RON
AMD,Indeed,12,2.71 GHz,2493.27 RON
AMD,Relationship,4,3.27 GHz,1395.66 RON
AMD,With,12,3.22 GHz,579.5 RON
Intel,Edge,12,4.88 GHz,2924.27 RON
AMD,East,6,4.61 GHz,2835.28 RON
AMD,Shake,24,2.38 GHz,2411.91 RON
AMD,Sometimes,8,4.68 GHz,1816.48 RON
Intel,Where,12,2.57 GHz,569.67 RON
Intel,Between,4,3.11 GHz,1740.38 RON
Intel,Similar,8,4.05 GHz,1987.65 RON
Intel,Miss,12,4.55 GHz,403.72 RON
AMD,Involve,16,3.46 GHz,2230.35 RON
AMD,Project,4,4.67 GHz,534.12 RON
Intel,Data,12,2.18 GHz,1074.35 RON
Intel,Ok,4,4.87 GHz,545.4 RON
Intel,Buy,12,4.4 GHz,2090.57 RON
AMD,Finish,4,2.12 GHz,1151.23 RON
Intel,Continue,16,3.91 GHz,1986.3 RON
AMD,Artist,8,3.97 GHz,2898.37 RON
Intel,Option,8,3.77 GHz,598.75 RON
Intel,Father,4,3.87 GHz,413.33 RON
AMD,Toward,6,2.89 GHz,2541.31 RON
Intel,Because,6,2.82 GHz,2746.55 RON
AMD,Rich,16,2.09 GHz,664.58 RON
Intel,Fight,8,3.36 GHz,1275.47 RON
Intel,Hair,24,2.58 GHz,2934.29 RON
AMD,Dream,24,2.59 GHz,1754.43 RON
AMD,Draw,24,4.09 GHz,2294.56 RON
AMD,North,12,2.65 GHz,1860.27 RON
Intel,Organization,12,3.64 GHz,1572.35 RON
AMD,Likely,12,4.88 GHz,1507.38 RON
AMD,Movement,8,4.38 GHz,674.79 RON
Intel,Certainly,6,3.7 GHz,1394.62 RON
AMD,Next,4,2.01 GHz,2751.9 RON
AMD,Set,12,4.24 GHz,2194.01 RON
Intel,Computer,12,2.88 GHz,533.45 RON
Intel,Know,4,2.84 GHz,2956.35 RON
Intel,Really,6,2.2 GHz,1735.61 RON
Intel,Late,16,4.15 GHz,1235.34 RON
Intel,Continue,6,4.28 GHz,2920.5 RON
Intel,Republican,8,3.79 GHz,2035.7 RON
AMD,Two,24,3.27 GHz,2223.61 RON
Intel,Never,6,3.11 GHz,1787.81 RON
Intel,Event,6,2.94 GHz,1874.72 RON
Intel,Music,8,3.51 GHz,1077.75 RON
Intel,Against,12,2.79 GHz,400.42 RON
Intel,A,8,3.37 GHz,655.11 RON
AMD,Gas,4,3.77 GHz,833.35 RON
AMD,Something,16,2.8 GHz,828.8 RON
Intel,Conference,8,2.22 GHz,1213.09 RON
Intel,Stop,24,4.71 GHz,2176.91 RON
Intel,Car,12,4.35 GHz,2822.08 RON
AMD,Black,6,2.02 GHz,1141.33 RON
Intel,Space,24,2.64 GHz,2194.79 RON
Intel,Body,24,4.11 GHz,2894.72 RON
AMD,Yeah,8,2.67 GHz,2162.79 RON
AMD,Play,4,3.28 GHz,1767.18 RON
Intel,Clear,4,3.05 GHz,1808.5 RON
Intel,Green,16,4.34 GHz,1965.91 RON
Intel,Student,4,3.88 GHz,2061.0 RON
AMD,Future,16,2.25 GHz,1852.83 RON
AMD,Attorney,6,3.87 GHz,470.99 RON
AMD,Example,24,3.89 GHz,589.44 RON
Intel,Sister,16,2.41 GHz,2122.25 RON
AMD,Security,24,2.12 GHz,1140.35 RON
AMD,Between,4,2.77 GHz,1441.15 RON
Intel,Service,4,4.35 GHz,2670.41 RON
AMD,Stand,6,4.03 GHz,1302.36 RON
AMD,Successful,4,4.21 GHz,721.93 RON
AMD,Next,4,4.27 GHz,955.78 RON
Intel,Save,16,4.73 GHz,1260.53 RON
AMD,Congress,24,3.02 GHz,1257.4 RON
Intel,Tough,24,2.98 GHz,2204.59 RON
Intel,Benefit,24,3.72 GHz,1988.15 RON
Intel,Pass,8,4.22 GHz,1739.95 RON
AMD,Course,12,2.17 GHz,2218.85 RON
AMD,Worker,24,2.6 GHz,1894.46 RON
AMD,School,6,4.92 GHz,1236.06 RON
AMD,Establish,12,4.61 GHz,2914.01 RON
Intel,Purpose,16,4.28 GHz,1258.22 RON
AMD,Man,12,4.66 GHz,1750.25 RON
AMD,Team,16,3.23 GHz,1320.57 RON
Intel,Party,16,4.34 GHz,1300.04 RON
AMD,Daughter,6,3.39 GHz,2048.5 RON
Intel,Exactly,6,2.76 GHz,1779.16 RON
Intel,If,4,4.51 GHz,472.69 RON
AMD,Suddenly,4,4.15 GHz,2360.79 RON
AMD,Newspaper,6,4.74 GHz,2943.05 RON
AMD,From,16,3.14 GHz,2625.84 RON
Intel,Their,8,2.89 GHz,1642.24 RON
AMD,Their,12,4.84 GHz,2271.1 RON
Intel,Manager,4,4.43 GHz,2429.12 RON
AMD,Responsibility,16,4.11 GHz,1134.22 RON
AMD,Activity,12,3.6 GHz,2156.3 RON
Intel,Believe,8,2.07 GHz,2553.78 RON
Intel,Pay,8,4.93 GHz,2576.84 RON
AMD,Day,16,2.04 GHz,2290.88 RON
AMD,Close,12,4.7 GHz,2335.69 RON
Intel,Few,6,2.25 GHz,434.69 RON
AMD,Strategy,16,4.5 GHz,762.07 RON
Intel,Believe,4,4.23 GHz,2656.56 RON
Intel,Natural,12,2.96 GHz,1152.89 RON
AMD,Drive,12,3.29 GHz,748.21 RON
Intel,Lead,12,2.09 GHz,1719.89 RON
Intel,Sometimes,6,2.55 GHz,2045.9 RON
AMD,Realize,24,2.08 GHz,2904.7 RON
AMD,Collection,16,3.69 GHz,2108.33 RON
AMD,Professional,8,2.77 GHz,417.72 RON
Intel,Whose,4,4.68 GHz,1730.76 RON
Intel,Behavior,8,2.64 GHz,541.92 RON
AMD,Parent,4,2.12 GHz,2476.5 RON
AMD,Training,6,4.04 GHz,1824.96 RON
Intel,Challenge,8,3.08 GHz,421.89 RON
Intel,Friend,24,2.65 GHz,2755.8 RON
AMD,Ever,6,4.55 GHz,1766.67 RON
Intel,Happy,8,4.59 GHz,2938.56 RON
AMD,Tree,4,4.31 GHz,2013.88 RON
AMD,Hair,16,3.25 GHz,2600.4 RON
AMD,Lay,8,3.47 GHz,2412.98 RON
Intel,At,6,3.27 GHz,1596.97 RON
Intel,Start,16,4.36 GHz,504.12 RON
AMD,Trade,6,4.78 GHz,1634.68 RON
Intel,Scene,24,3.38 GHz,2134.19 RON
Intel,Same,24,3.01 GHz,951.34 RON
Intel,Same,4,3.63 GHz,2841.54 RON
Intel,Whatever,12,4.39 GHz,2885.34 RON
Intel,Answer,4,4.42 GHz,412.98 RON
Intel,Physical,16,2.36 GHz,1749.19 RON
AMD,Painting,24,3.99 GHz,605.66 RON
Intel,Behavior,4,3.41 GHz,2795.04 RON
Intel,Resource,24,4.08 GHz,1928.79 RON
AMD,Join,6,4.08 GHz,2397.84 RON
AMD,Anyone,8,2.24 GHz,2620.6 RON
Intel,The,6,2.26 GHz,427.41 RON
AMD,Better,8,4.66 GHz,2179.63 RON
Intel,Near,4,2.65 GHz,2730.52 RON
Intel,Left,8,3.08 GHz,1472.78 RON
AMD,Fill,16,2.39 GHz,1582.42 RON
AMD,Partner,8,3.56 GHz,2712.77 RON
Intel,Push,12,3.71 GHz,2198.8 RON
Intel,Establish,16,4.7 GHz,805.3 RON
Intel,Professional,8,2.07 GHz,2088.84 RON
Intel,Choice,24,2.8 GHz,947.3 RON
Intel,Create,8,4.23 GHz,1589.95 RON
Intel,Leave,12,4.73 GHz,2176.05 RON
AMD,Lose,16,4.79 GHz,1820.35 RON
Intel,Involve,16,2.54 GHz,2456.2 RON
Intel,Appear,24,2.84 GHz,875.49 RON
Intel,Energy,24,2.83 GHz,2381.04 RON
Intel,College,8,2.68 GHz,1383.73 RON
AMD,Cultural,24,3.32 GHz,1783.14 RON
Intel,Field,24,2.88 GHz,1308.37 RON
AMD,Management,8,2.55 GHz,1013.52 RON
Intel,Turn,4,4.67 GHz,2493.84 RON
Intel,Card,12,3.35 GHz,958.78 RON
Intel,Fear,16,2.28 GHz,2282.51 RON
Intel,Whole,4,2.83 GHz,1120.56 RON
Intel,Feel,24,3.83 GHz,1205.46 RON
Intel,Really,6,4.31 GHz,1306.96 RON
