Manufacturer, Model, Capacity_GB, Write Speed (MB/s), Read Speed (MB/s), Price
Samsung,Agent,500 GB,Between 2500 - 3000 MB/s,Between 2500 - 3000 MB/s,381.6 RON
Crucial,Card,128 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,672.75 RON
Crucial,Language,2000 GB,Between 2000 - 2500 MB/s,Between 1500 - 2000 MB/s,1468.78 RON
Corsair,True,500 GB,Between 3000 - 4000 MB/s,Between 1500 - 2000 MB/s,212.36 RON
Corsair,Kid,120 GB,Between 3000 - 4000 MB/s,Between 2000 - 2500 MB/s,724.88 RON
ADATA,Edge,512 GB,Between 3000 - 4000 MB/s,Between 2500 - 3000 MB/s,915.63 RON
Crucial,Then,128 GB,Over 5000 MB/s,Between 3000 - 4000 MB/s,153.39 RON
Crucial,Husband,2000 GB,Between 2000 - 2500 MB/s,Between 3000 - 4000 MB/s,755.72 RON
Corsair,Relate,500 GB,Over 5000 MB/s,Between 1500 - 2000 MB/s,1200.12 RON
Samsung,Decision,500 GB,Between 2500 - 3000 MB/s,Between 3000 - 4000 MB/s,1180.35 RON
ADATA,Even,240 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,711.47 RON
Western Digital,Must,512 GB,Between 3000 - 4000 MB/s,Over 5000 MB/s,828.87 RON
Western Digital,Mind,500 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,220.24 RON
Samsung,Voice,128 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,170.04 RON
Crucial,Easy,120 GB,Between 1500 - 2000 MB/s,Over 5000 MB/s,265.2 RON
Corsair,By,1000 GB,Between 2500 - 3000 MB/s,Between 3000 - 4000 MB/s,1392.39 RON
Seagate,Present,240 GB,Between 2500 - 3000 MB/s,Between 1500 - 2000 MB/s,1347.66 RON
ADATA,Respond,2000 GB,Between 2000 - 2500 MB/s,Over 5000 MB/s,1303.73 RON
Crucial,Article,512 GB,Between 2500 - 3000 MB/s,Between 3000 - 4000 MB/s,1341.28 RON
Seagate,Artist,1000 GB,Between 1500 - 2000 MB/s,Between 2500 - 3000 MB/s,1394.29 RON
ADATA,West,1000 GB,Between 3000 - 4000 MB/s,Between 2500 - 3000 MB/s,883.3 RON
Western Digital,Shake,512 GB,Between 2000 - 2500 MB/s,Between 2500 - 3000 MB/s,540.99 RON
Western Digital,Student,120 GB,Over 5000 MB/s,Between 1500 - 2000 MB/s,1050.21 RON
Samsung,Again,240 GB,Between 2500 - 3000 MB/s,Between 3000 - 4000 MB/s,162.55 RON
ADATA,Exactly,512 GB,Between 2500 - 3000 MB/s,Between 1500 - 2000 MB/s,809.0 RON
Corsair,Help,256 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,583.45 RON
ADATA,Still,256 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,1240.19 RON
Seagate,Week,120 GB,Between 2000 - 2500 MB/s,Between 1500 - 2000 MB/s,1210.05 RON
ADATA,Finally,2000 GB,Over 5000 MB/s,Over 5000 MB/s,465.42 RON
Seagate,Light,120 GB,Between 1500 - 2000 MB/s,Over 5000 MB/s,568.78 RON
Western Digital,Few,240 GB,Over 5000 MB/s,Over 5000 MB/s,1287.1 RON
Corsair,Before,120 GB,Over 5000 MB/s,Between 1500 - 2000 MB/s,1077.5 RON
Crucial,Bit,512 GB,Between 1500 - 2000 MB/s,Between 2500 - 3000 MB/s,247.99 RON
Western Digital,Leader,240 GB,Between 3000 - 4000 MB/s,Over 5000 MB/s,85.34 RON
Western Digital,Method,240 GB,Between 3000 - 4000 MB/s,Over 5000 MB/s,886.39 RON
Western Digital,Next,1000 GB,Between 3000 - 4000 MB/s,Between 3000 - 4000 MB/s,1187.88 RON
ADATA,Between,240 GB,Over 5000 MB/s,Between 1500 - 2000 MB/s,468.29 RON
Western Digital,Represent,500 GB,Between 1500 - 2000 MB/s,Between 2000 - 2500 MB/s,111.71 RON
Crucial,Kitchen,128 GB,Between 1500 - 2000 MB/s,Between 2000 - 2500 MB/s,1018.56 RON
Corsair,He,120 GB,Between 3000 - 4000 MB/s,Between 2500 - 3000 MB/s,586.03 RON
Crucial,Perform,512 GB,Over 5000 MB/s,Between 2500 - 3000 MB/s,356.07 RON
Corsair,Number,240 GB,Over 5000 MB/s,Between 1500 - 2000 MB/s,530.65 RON
ADATA,Collection,120 GB,Between 1500 - 2000 MB/s,Between 2000 - 2500 MB/s,1182.45 RON
Western Digital,Edge,500 GB,Between 3000 - 4000 MB/s,Between 3000 - 4000 MB/s,670.75 RON
Crucial,Remember,1000 GB,Over 5000 MB/s,Between 3000 - 4000 MB/s,1258.92 RON
Corsair,Tonight,128 GB,Between 1500 - 2000 MB/s,Between 2000 - 2500 MB/s,806.53 RON
ADATA,Type,256 GB,Between 3000 - 4000 MB/s,Between 3000 - 4000 MB/s,389.63 RON
ADATA,Option,2000 GB,Between 2000 - 2500 MB/s,Between 2000 - 2500 MB/s,144.39 RON
Western Digital,Fine,1000 GB,Between 1500 - 2000 MB/s,Between 3000 - 4000 MB/s,1271.26 RON
Corsair,Catch,256 GB,Between 2500 - 3000 MB/s,Between 1500 - 2000 MB/s,1041.58 RON
Western Digital,Present,128 GB,Over 5000 MB/s,Between 1500 - 2000 MB/s,1035.46 RON
Western Digital,Strong,120 GB,Between 1500 - 2000 MB/s,Between 3000 - 4000 MB/s,926.36 RON
ADATA,Claim,256 GB,Over 5000 MB/s,Over 5000 MB/s,461.88 RON
ADATA,Growth,240 GB,Over 5000 MB/s,Over 5000 MB/s,749.21 RON
Western Digital,Production,1000 GB,Between 1500 - 2000 MB/s,Between 2000 - 2500 MB/s,1015.46 RON
Samsung,Age,240 GB,Between 1500 - 2000 MB/s,Over 5000 MB/s,725.82 RON
ADATA,Avoid,120 GB,Between 1500 - 2000 MB/s,Between 2000 - 2500 MB/s,1116.09 RON
Seagate,Positive,512 GB,Between 1500 - 2000 MB/s,Between 2000 - 2500 MB/s,364.29 RON
Western Digital,Safe,240 GB,Between 3000 - 4000 MB/s,Between 3000 - 4000 MB/s,1184.6 RON
ADATA,Security,512 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,1349.59 RON
Samsung,However,120 GB,Between 1500 - 2000 MB/s,Between 2500 - 3000 MB/s,687.38 RON
Seagate,Seven,1000 GB,Over 5000 MB/s,Over 5000 MB/s,296.25 RON
Corsair,Put,1000 GB,Between 2000 - 2500 MB/s,Between 1500 - 2000 MB/s,1399.01 RON
ADATA,Turn,1000 GB,Between 1500 - 2000 MB/s,Between 2500 - 3000 MB/s,1286.89 RON
Samsung,Hour,120 GB,Between 1500 - 2000 MB/s,Between 2500 - 3000 MB/s,1098.61 RON
Samsung,Itself,512 GB,Between 3000 - 4000 MB/s,Between 2500 - 3000 MB/s,718.52 RON
Seagate,Common,512 GB,Between 2000 - 2500 MB/s,Between 1500 - 2000 MB/s,1196.12 RON
Samsung,Dinner,2000 GB,Between 2000 - 2500 MB/s,Between 2500 - 3000 MB/s,1178.28 RON
ADATA,Huge,1000 GB,Over 5000 MB/s,Between 1500 - 2000 MB/s,1275.16 RON
Crucial,Usually,1000 GB,Between 2500 - 3000 MB/s,Between 1500 - 2000 MB/s,423.64 RON
Corsair,Term,120 GB,Between 2000 - 2500 MB/s,Between 2500 - 3000 MB/s,1368.61 RON
Samsung,Short,128 GB,Between 3000 - 4000 MB/s,Between 1500 - 2000 MB/s,780.13 RON
Corsair,Sea,128 GB,Between 3000 - 4000 MB/s,Over 5000 MB/s,1090.66 RON
Seagate,Price,500 GB,Over 5000 MB/s,Between 1500 - 2000 MB/s,1325.81 RON
Crucial,Government,120 GB,Between 2500 - 3000 MB/s,Between 2500 - 3000 MB/s,275.41 RON
Crucial,Mission,256 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,587.59 RON
Corsair,Technology,256 GB,Between 1500 - 2000 MB/s,Over 5000 MB/s,315.88 RON
Samsung,Interest,500 GB,Between 1500 - 2000 MB/s,Between 3000 - 4000 MB/s,1264.74 RON
ADATA,Billion,512 GB,Between 1500 - 2000 MB/s,Between 2500 - 3000 MB/s,811.21 RON
Samsung,Realize,120 GB,Between 3000 - 4000 MB/s,Over 5000 MB/s,674.32 RON
Western Digital,In,256 GB,Between 2000 - 2500 MB/s,Between 1500 - 2000 MB/s,1048.42 RON
Seagate,Plant,120 GB,Between 3000 - 4000 MB/s,Between 2000 - 2500 MB/s,1126.93 RON
Seagate,Professor,240 GB,Between 2000 - 2500 MB/s,Between 2000 - 2500 MB/s,186.57 RON
Western Digital,Model,1000 GB,Between 2500 - 3000 MB/s,Between 2000 - 2500 MB/s,1290.19 RON
Western Digital,Begin,1000 GB,Between 3000 - 4000 MB/s,Between 2000 - 2500 MB/s,877.08 RON
Samsung,Name,128 GB,Between 1500 - 2000 MB/s,Between 2500 - 3000 MB/s,1350.97 RON
Corsair,Bit,256 GB,Between 1500 - 2000 MB/s,Between 2500 - 3000 MB/s,931.2 RON
Samsung,Wish,120 GB,Between 1500 - 2000 MB/s,Over 5000 MB/s,415.17 RON
ADATA,Everything,2000 GB,Between 2500 - 3000 MB/s,Between 2500 - 3000 MB/s,1190.3 RON
Samsung,Economy,512 GB,Between 3000 - 4000 MB/s,Between 1500 - 2000 MB/s,729.66 RON
Corsair,Evening,120 GB,Between 2000 - 2500 MB/s,Between 2000 - 2500 MB/s,388.66 RON
Crucial,Least,256 GB,Over 5000 MB/s,Between 2500 - 3000 MB/s,651.77 RON
Crucial,Us,500 GB,Between 2000 - 2500 MB/s,Between 2000 - 2500 MB/s,397.05 RON
Corsair,Inside,256 GB,Between 2000 - 2500 MB/s,Between 2500 - 3000 MB/s,1108.94 RON
Crucial,Interest,2000 GB,Between 3000 - 4000 MB/s,Between 1500 - 2000 MB/s,540.68 RON
Corsair,Seat,500 GB,Between 1500 - 2000 MB/s,Between 2000 - 2500 MB/s,1265.54 RON
Seagate,He,1000 GB,Between 2500 - 3000 MB/s,Over 5000 MB/s,1033.4 RON
Seagate,Western,120 GB,Between 3000 - 4000 MB/s,Over 5000 MB/s,164.43 RON
ADATA,Anyone,240 GB,Between 2500 - 3000 MB/s,Between 1500 - 2000 MB/s,496.76 RON
Samsung,Sometimes,120 GB,Between 2000 - 2500 MB/s,Between 1500 - 2000 MB/s,1288.11 RON
ADATA,Tax,120 GB,Between 3000 - 4000 MB/s,Between 1500 - 2000 MB/s,917.42 RON
Corsair,Performance,128 GB,Over 5000 MB/s,Between 1500 - 2000 MB/s,837.09 RON
Samsung,Mrs,256 GB,Between 1500 - 2000 MB/s,Between 3000 - 4000 MB/s,807.67 RON
Crucial,Build,2000 GB,Between 1500 - 2000 MB/s,Between 3000 - 4000 MB/s,1450.09 RON
Crucial,Simple,512 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,1231.48 RON
Corsair,Resource,256 GB,Between 2500 - 3000 MB/s,Between 3000 - 4000 MB/s,616.28 RON
Samsung,Manage,240 GB,Between 3000 - 4000 MB/s,Between 2000 - 2500 MB/s,656.63 RON
ADATA,This,128 GB,Between 1500 - 2000 MB/s,Between 2000 - 2500 MB/s,815.1 RON
Crucial,Mouth,512 GB,Between 1500 - 2000 MB/s,Between 3000 - 4000 MB/s,321.23 RON
Samsung,Probably,2000 GB,Between 1500 - 2000 MB/s,Between 3000 - 4000 MB/s,929.83 RON
Samsung,Fish,240 GB,Between 2000 - 2500 MB/s,Between 3000 - 4000 MB/s,859.52 RON
Corsair,Wall,120 GB,Over 5000 MB/s,Over 5000 MB/s,549.44 RON
Seagate,Tree,120 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,801.79 RON
ADATA,Activity,128 GB,Between 3000 - 4000 MB/s,Between 2500 - 3000 MB/s,1268.21 RON
Western Digital,Least,128 GB,Between 2000 - 2500 MB/s,Between 2000 - 2500 MB/s,305.54 RON
Western Digital,Ago,1000 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,451.55 RON
ADATA,Tell,2000 GB,Between 3000 - 4000 MB/s,Between 1500 - 2000 MB/s,1007.79 RON
Crucial,Necessary,240 GB,Between 2000 - 2500 MB/s,Between 1500 - 2000 MB/s,195.46 RON
Samsung,After,1000 GB,Over 5000 MB/s,Between 2000 - 2500 MB/s,946.42 RON
Seagate,Season,240 GB,Between 1500 - 2000 MB/s,Over 5000 MB/s,1004.52 RON
Corsair,Leave,2000 GB,Between 2000 - 2500 MB/s,Between 1500 - 2000 MB/s,817.43 RON
Western Digital,Production,128 GB,Between 1500 - 2000 MB/s,Between 3000 - 4000 MB/s,174.48 RON
ADATA,Show,1000 GB,Over 5000 MB/s,Between 2000 - 2500 MB/s,501.97 RON
Seagate,Billion,128 GB,Between 3000 - 4000 MB/s,Between 1500 - 2000 MB/s,370.81 RON
Western Digital,Foot,240 GB,Between 3000 - 4000 MB/s,Over 5000 MB/s,991.58 RON
Samsung,Site,240 GB,Over 5000 MB/s,Between 1500 - 2000 MB/s,646.4 RON
Western Digital,Mrs,2000 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,734.3 RON
Crucial,Eat,1000 GB,Between 2500 - 3000 MB/s,Between 2000 - 2500 MB/s,70.56 RON
Corsair,Experience,2000 GB,Over 5000 MB/s,Between 1500 - 2000 MB/s,988.93 RON
Seagate,Team,256 GB,Between 1500 - 2000 MB/s,Between 3000 - 4000 MB/s,504.04 RON
Western Digital,Half,120 GB,Between 2500 - 3000 MB/s,Over 5000 MB/s,1076.75 RON
Samsung,Structure,256 GB,Between 3000 - 4000 MB/s,Between 1500 - 2000 MB/s,797.86 RON
Western Digital,Especially,1000 GB,Between 2000 - 2500 MB/s,Between 1500 - 2000 MB/s,1458.71 RON
ADATA,Able,256 GB,Between 1500 - 2000 MB/s,Between 2500 - 3000 MB/s,267.42 RON
Corsair,Use,500 GB,Over 5000 MB/s,Between 2500 - 3000 MB/s,135.91 RON
Crucial,Military,512 GB,Between 1500 - 2000 MB/s,Between 2500 - 3000 MB/s,1071.33 RON
Crucial,Remember,512 GB,Over 5000 MB/s,Over 5000 MB/s,735.45 RON
Western Digital,West,2000 GB,Between 3000 - 4000 MB/s,Between 2500 - 3000 MB/s,122.55 RON
Crucial,Newspaper,256 GB,Between 3000 - 4000 MB/s,Between 1500 - 2000 MB/s,1162.71 RON
Corsair,Cultural,512 GB,Between 2000 - 2500 MB/s,Between 1500 - 2000 MB/s,1160.58 RON
Seagate,Budget,500 GB,Between 1500 - 2000 MB/s,Between 3000 - 4000 MB/s,1182.89 RON
Samsung,Across,120 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,922.12 RON
Western Digital,Out,2000 GB,Between 1500 - 2000 MB/s,Over 5000 MB/s,436.19 RON
Seagate,Success,500 GB,Between 2000 - 2500 MB/s,Between 2500 - 3000 MB/s,1399.99 RON
ADATA,Across,120 GB,Between 3000 - 4000 MB/s,Between 2000 - 2500 MB/s,392.77 RON
Corsair,Feel,512 GB,Between 2500 - 3000 MB/s,Between 2000 - 2500 MB/s,334.45 RON
ADATA,Perform,500 GB,Between 2500 - 3000 MB/s,Over 5000 MB/s,98.22 RON
Corsair,Experience,240 GB,Between 1500 - 2000 MB/s,Between 2500 - 3000 MB/s,141.88 RON
Corsair,There,120 GB,Between 2000 - 2500 MB/s,Between 1500 - 2000 MB/s,476.06 RON
Samsung,Glass,240 GB,Between 2000 - 2500 MB/s,Between 1500 - 2000 MB/s,1291.57 RON
Seagate,Measure,1000 GB,Between 2000 - 2500 MB/s,Between 2000 - 2500 MB/s,637.71 RON
ADATA,Improve,1000 GB,Between 3000 - 4000 MB/s,Between 1500 - 2000 MB/s,732.32 RON
Samsung,Issue,512 GB,Over 5000 MB/s,Between 1500 - 2000 MB/s,1201.08 RON
ADATA,Dog,500 GB,Between 2000 - 2500 MB/s,Over 5000 MB/s,92.87 RON
Crucial,Car,512 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,118.26 RON
Seagate,Become,2000 GB,Over 5000 MB/s,Between 2000 - 2500 MB/s,778.81 RON
Samsung,Level,1000 GB,Between 2500 - 3000 MB/s,Between 2500 - 3000 MB/s,720.41 RON
Samsung,Officer,512 GB,Between 2500 - 3000 MB/s,Between 3000 - 4000 MB/s,752.23 RON
Crucial,Pretty,512 GB,Over 5000 MB/s,Between 3000 - 4000 MB/s,509.53 RON
Corsair,Year,120 GB,Between 3000 - 4000 MB/s,Between 2000 - 2500 MB/s,560.32 RON
Seagate,Create,120 GB,Between 3000 - 4000 MB/s,Between 1500 - 2000 MB/s,659.95 RON
Western Digital,Go,256 GB,Between 1500 - 2000 MB/s,Between 2500 - 3000 MB/s,422.79 RON
Crucial,What,512 GB,Between 2000 - 2500 MB/s,Between 3000 - 4000 MB/s,1316.01 RON
Crucial,Describe,512 GB,Between 2000 - 2500 MB/s,Over 5000 MB/s,252.91 RON
ADATA,First,128 GB,Between 3000 - 4000 MB/s,Between 2000 - 2500 MB/s,1192.7 RON
Seagate,Leg,120 GB,Between 3000 - 4000 MB/s,Over 5000 MB/s,918.58 RON
Corsair,Them,120 GB,Between 1500 - 2000 MB/s,Over 5000 MB/s,858.63 RON
ADATA,Tough,2000 GB,Between 1500 - 2000 MB/s,Between 2000 - 2500 MB/s,156.82 RON
Corsair,Especially,128 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,203.58 RON
Crucial,Her,240 GB,Between 1500 - 2000 MB/s,Between 2000 - 2500 MB/s,248.8 RON
Corsair,Fill,128 GB,Over 5000 MB/s,Between 1500 - 2000 MB/s,1496.79 RON
Samsung,Perform,256 GB,Between 2000 - 2500 MB/s,Between 2500 - 3000 MB/s,649.86 RON
Western Digital,Scene,120 GB,Over 5000 MB/s,Between 1500 - 2000 MB/s,77.4 RON
Seagate,Tree,512 GB,Between 2500 - 3000 MB/s,Between 1500 - 2000 MB/s,314.82 RON
Corsair,Friend,128 GB,Over 5000 MB/s,Between 1500 - 2000 MB/s,500.04 RON
ADATA,Role,1000 GB,Between 2000 - 2500 MB/s,Between 1500 - 2000 MB/s,1307.05 RON
Crucial,Real,256 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,303.45 RON
Samsung,Person,512 GB,Between 1500 - 2000 MB/s,Over 5000 MB/s,1221.04 RON
Western Digital,End,512 GB,Between 2000 - 2500 MB/s,Between 2500 - 3000 MB/s,259.35 RON
ADATA,If,512 GB,Over 5000 MB/s,Between 2000 - 2500 MB/s,306.91 RON
Samsung,Rest,512 GB,Over 5000 MB/s,Between 2000 - 2500 MB/s,1094.55 RON
Crucial,Travel,120 GB,Between 2500 - 3000 MB/s,Between 1500 - 2000 MB/s,1294.38 RON
Western Digital,They,500 GB,Between 1500 - 2000 MB/s,Between 2000 - 2500 MB/s,1287.42 RON
Corsair,Agreement,500 GB,Over 5000 MB/s,Over 5000 MB/s,921.35 RON
ADATA,Move,120 GB,Between 2000 - 2500 MB/s,Between 1500 - 2000 MB/s,735.04 RON
Corsair,Set,2000 GB,Between 2000 - 2500 MB/s,Between 3000 - 4000 MB/s,282.98 RON
Samsung,Mention,240 GB,Between 2000 - 2500 MB/s,Between 3000 - 4000 MB/s,1408.84 RON
Seagate,Group,500 GB,Between 1500 - 2000 MB/s,Between 3000 - 4000 MB/s,84.65 RON
Western Digital,Blue,1000 GB,Between 3000 - 4000 MB/s,Between 2000 - 2500 MB/s,155.11 RON
Crucial,These,1000 GB,Between 1500 - 2000 MB/s,Between 2000 - 2500 MB/s,135.99 RON
ADATA,Without,128 GB,Between 1500 - 2000 MB/s,Between 3000 - 4000 MB/s,281.76 RON
Corsair,Shake,500 GB,Between 1500 - 2000 MB/s,Between 2000 - 2500 MB/s,1452.4 RON
Western Digital,Always,1000 GB,Between 2000 - 2500 MB/s,Between 2000 - 2500 MB/s,1318.01 RON
Crucial,Resource,512 GB,Over 5000 MB/s,Between 1500 - 2000 MB/s,594.18 RON
Seagate,Special,2000 GB,Between 1500 - 2000 MB/s,Between 2000 - 2500 MB/s,1093.57 RON
ADATA,History,1000 GB,Between 2500 - 3000 MB/s,Between 1500 - 2000 MB/s,281.24 RON
ADATA,Simple,500 GB,Over 5000 MB/s,Between 2000 - 2500 MB/s,631.37 RON
Seagate,Professor,240 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,631.64 RON
Seagate,Together,256 GB,Between 2000 - 2500 MB/s,Between 2000 - 2500 MB/s,947.39 RON
Samsung,Wrong,128 GB,Between 2500 - 3000 MB/s,Between 1500 - 2000 MB/s,395.04 RON
Western Digital,Nothing,2000 GB,Between 2000 - 2500 MB/s,Between 2000 - 2500 MB/s,375.89 RON
Seagate,Few,512 GB,Between 2500 - 3000 MB/s,Between 1500 - 2000 MB/s,941.34 RON
Seagate,Both,512 GB,Between 2500 - 3000 MB/s,Over 5000 MB/s,270.17 RON
Samsung,Dark,128 GB,Between 1500 - 2000 MB/s,Over 5000 MB/s,853.75 RON
Corsair,Year,512 GB,Over 5000 MB/s,Between 1500 - 2000 MB/s,484.64 RON
Corsair,Role,256 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,819.6 RON
Seagate,May,240 GB,Over 5000 MB/s,Over 5000 MB/s,1485.59 RON
ADATA,Medical,120 GB,Between 2000 - 2500 MB/s,Between 1500 - 2000 MB/s,558.31 RON
Western Digital,My,512 GB,Between 2000 - 2500 MB/s,Between 1500 - 2000 MB/s,914.41 RON
Seagate,Full,500 GB,Between 2000 - 2500 MB/s,Between 2000 - 2500 MB/s,911.13 RON
Crucial,Later,2000 GB,Between 3000 - 4000 MB/s,Between 2500 - 3000 MB/s,641.34 RON
Seagate,Story,256 GB,Between 1500 - 2000 MB/s,Between 3000 - 4000 MB/s,527.12 RON
ADATA,Since,512 GB,Between 1500 - 2000 MB/s,Between 2500 - 3000 MB/s,614.12 RON
ADATA,Each,512 GB,Between 3000 - 4000 MB/s,Between 2000 - 2500 MB/s,1442.44 RON
Seagate,Loss,240 GB,Between 3000 - 4000 MB/s,Between 1500 - 2000 MB/s,184.76 RON
Western Digital,Speech,1000 GB,Between 1500 - 2000 MB/s,Between 3000 - 4000 MB/s,368.12 RON
Crucial,Fine,120 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,1420.83 RON
Seagate,Civil,2000 GB,Between 1500 - 2000 MB/s,Between 2000 - 2500 MB/s,1113.37 RON
Corsair,Factor,2000 GB,Between 3000 - 4000 MB/s,Between 1500 - 2000 MB/s,1464.2 RON
Corsair,Game,128 GB,Between 1500 - 2000 MB/s,Over 5000 MB/s,1323.62 RON
Samsung,Including,256 GB,Over 5000 MB/s,Between 2000 - 2500 MB/s,601.52 RON
Seagate,Measure,120 GB,Between 1500 - 2000 MB/s,Between 2000 - 2500 MB/s,919.32 RON
Samsung,Present,512 GB,Between 1500 - 2000 MB/s,Between 2000 - 2500 MB/s,1253.46 RON
Samsung,Number,240 GB,Between 1500 - 2000 MB/s,Over 5000 MB/s,362.73 RON
Western Digital,Show,120 GB,Between 1500 - 2000 MB/s,Between 2000 - 2500 MB/s,701.36 RON
ADATA,Firm,2000 GB,Between 1500 - 2000 MB/s,Over 5000 MB/s,1486.22 RON
ADATA,Again,512 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,110.36 RON
Samsung,Section,512 GB,Between 3000 - 4000 MB/s,Between 2000 - 2500 MB/s,1115.78 RON
Seagate,See,2000 GB,Between 1500 - 2000 MB/s,Between 2000 - 2500 MB/s,116.21 RON
Crucial,Memory,240 GB,Between 2000 - 2500 MB/s,Between 3000 - 4000 MB/s,321.41 RON
Seagate,Her,2000 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,464.72 RON
Seagate,Adult,2000 GB,Over 5000 MB/s,Between 1500 - 2000 MB/s,896.48 RON
ADATA,Century,500 GB,Between 3000 - 4000 MB/s,Over 5000 MB/s,1104.92 RON
ADATA,Song,128 GB,Between 2500 - 3000 MB/s,Between 1500 - 2000 MB/s,549.65 RON
Corsair,Consumer,1000 GB,Between 3000 - 4000 MB/s,Between 3000 - 4000 MB/s,997.96 RON
Seagate,Public,500 GB,Between 2000 - 2500 MB/s,Between 3000 - 4000 MB/s,603.95 RON
Samsung,Hard,1000 GB,Over 5000 MB/s,Over 5000 MB/s,617.04 RON
Western Digital,Marriage,2000 GB,Over 5000 MB/s,Between 2500 - 3000 MB/s,883.38 RON
Seagate,Hold,512 GB,Between 1500 - 2000 MB/s,Between 3000 - 4000 MB/s,625.47 RON
Seagate,Positive,1000 GB,Between 1500 - 2000 MB/s,Over 5000 MB/s,101.18 RON
Seagate,Man,500 GB,Between 2000 - 2500 MB/s,Between 3000 - 4000 MB/s,1086.07 RON
ADATA,Expect,1000 GB,Between 2000 - 2500 MB/s,Between 1500 - 2000 MB/s,148.9 RON
Crucial,Fill,240 GB,Between 3000 - 4000 MB/s,Between 2000 - 2500 MB/s,747.14 RON
Western Digital,Along,2000 GB,Between 1500 - 2000 MB/s,Between 2500 - 3000 MB/s,87.68 RON
Corsair,Particular,256 GB,Between 3000 - 4000 MB/s,Between 3000 - 4000 MB/s,188.6 RON
ADATA,Safe,128 GB,Over 5000 MB/s,Over 5000 MB/s,1188.56 RON
ADATA,Each,1000 GB,Between 2500 - 3000 MB/s,Over 5000 MB/s,830.98 RON
Samsung,Tough,240 GB,Between 1500 - 2000 MB/s,Over 5000 MB/s,1070.64 RON
Western Digital,Suddenly,240 GB,Between 2500 - 3000 MB/s,Over 5000 MB/s,726.26 RON
Seagate,Who,120 GB,Between 2000 - 2500 MB/s,Between 2000 - 2500 MB/s,346.05 RON
Corsair,Serve,500 GB,Between 2500 - 3000 MB/s,Between 2000 - 2500 MB/s,278.74 RON
Seagate,Professional,128 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,1461.23 RON
ADATA,Fight,256 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,1337.11 RON
Seagate,Language,120 GB,Between 2500 - 3000 MB/s,Between 2500 - 3000 MB/s,641.34 RON
Seagate,Reflect,240 GB,Between 3000 - 4000 MB/s,Between 2000 - 2500 MB/s,562.59 RON
Western Digital,Science,1000 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,815.14 RON
Crucial,Growth,128 GB,Between 2000 - 2500 MB/s,Over 5000 MB/s,1274.88 RON
Crucial,Order,256 GB,Between 1500 - 2000 MB/s,Between 2000 - 2500 MB/s,753.27 RON
Samsung,Front,240 GB,Between 2500 - 3000 MB/s,Over 5000 MB/s,986.85 RON
Western Digital,Learn,1000 GB,Between 2500 - 3000 MB/s,Between 2500 - 3000 MB/s,1491.13 RON
Samsung,Compare,256 GB,Over 5000 MB/s,Between 2000 - 2500 MB/s,521.29 RON
Seagate,Break,2000 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,926.8 RON
Crucial,Write,256 GB,Between 2000 - 2500 MB/s,Between 1500 - 2000 MB/s,895.86 RON
Western Digital,Through,240 GB,Between 2000 - 2500 MB/s,Between 1500 - 2000 MB/s,849.48 RON
Western Digital,Color,512 GB,Between 3000 - 4000 MB/s,Between 3000 - 4000 MB/s,279.26 RON
Crucial,Bed,240 GB,Between 1500 - 2000 MB/s,Between 3000 - 4000 MB/s,465.86 RON
Samsung,Song,512 GB,Between 2500 - 3000 MB/s,Between 3000 - 4000 MB/s,1143.8 RON
Samsung,Identify,512 GB,Between 3000 - 4000 MB/s,Between 2000 - 2500 MB/s,554.34 RON
Samsung,Part,1000 GB,Between 2500 - 3000 MB/s,Between 1500 - 2000 MB/s,1219.57 RON
Western Digital,Certain,240 GB,Between 2000 - 2500 MB/s,Between 3000 - 4000 MB/s,458.23 RON
